experiment_id,session,strategy,model_version,far,frr,eer,accuracy,precision,recall,f1,n_legitimate,n_impostor,adaptation_event
exp_1_gradual_20260901_143044,0,static,12,1.0,0.0,0.5,0.6,0.6,1.0,0.75,3,2,
exp_1_gradual_20260901_143044,1,static,12,1.0,0.0,0.5,0.6,0.6,1.0,0.75,3,2,
exp_1_gradual_20260901_143044,2,static,12,1.0,0.0,0.5,0.6,0.6,1.0,0.75,3,2,
exp_1_gradual_20260901_143044,3,static,12,1.0,0.0,0.5,0.6,0.6,1.0,0.75,3,2,
exp_1_gradual_20260901_143044,4,static,12,1.0,0.0,0.5,0.6,0.6,1.0,0.75,3,2,
exp_1_gradual_20260901_143044,5,static,12,1.0,0.0,0.5,0.6,0.6,1.0,0.75,3,2,
exp_1_gradual_20260901_143044,6,static,12,1.0,0.0,0.5,0.6,0.6,1.0,0.75,3,2,
exp_1_gradual_20260901_143044,7,static,12,1.0,0.0,0.5,0.6,0.6,1.0,0.75,3,2,
exp_1_gradual_20260901_143044,8,static,12,1.0,0.0,0.5,0.6,0.6,1.0,0.75,3,2,
exp_1_gradual_20260901_143044,9,static,12,1.0,0.0,0.5,0.6,0.6,1.0,0.75,3,2,
exp_1_gradual_20260901_143044,0,adaptive,12,1.0,0.0,0.5,0.6,0.6,1.0,0.75,3,2,
exp_1_gradual_20260901_143044,1,adaptive,12,1.0,0.0,0.5,0.6,0.6,1.0,0.75,3,2,
exp_1_gradual_20260901_143044,2,adaptive,17,1.0,0.0,0.5,0.6,0.6,1.0,0.75,3,2,Model adapted at session 2
exp_1_gradual_20260901_143044,3,adaptive,17,1.0,0.0,0.5,0.6,0.6,1.0,0.75,3,2,
exp_1_gradual_20260901_143044,4,adaptive,17,1.0,0.0,0.5,0.6,0.6,1.0,0.75,3,2,
exp_1_gradual_20260901_143044,5,adaptive,17,1.0,0.0,0.5,0.6,0.6,1.0,0.75,3,2,
exp_1_gradual_20260901_143044,6,adaptive,18,1.0,0.0,0.5,0.6,0.6,1.0,0.75,3,2,Model adapted at session 6
exp_1_gradual_20260901_143044,7,adaptive,18,1.0,0.0,0.5,0.6,0.6,1.0,0.75,3,2,
exp_1_gradual_20260901_143044,8,adaptive,18,1.0,0.0,0.5,0.6,0.6,1.0,0.75,3,2,
exp_1_gradual_20260901_143044,9,adaptive,19,1.0,0.0,0.5,0.6,0.6,1.0,0.75,3,2,Model adapted at session 9
